Tree Number	Desc Ui	Term
D02.491	D007097	Imines
D02.491.203	D002234	Carbodiimides
D02.491.203.340	D003028	CME-Carbodiimide
D02.491.203.362	D003484	Cyanamide
D02.491.203.385	D004024	Dicyclohexylcarbodiimide
D02.491.203.425	D005022	Ethyldimethylaminopropyl Carbodiimide
D02.491.485	D007098	Imino Acids
D02.491.485.100	D001383	Azetidinecarboxylic Acid
D02.491.485.400	D019784	Technetium Tc 99m Diethyl-iminodiacetic Acid
D02.491.485.450	D019785	Technetium Tc 99m Disofenin
D02.491.485.900	D019780	Technetium Tc 99m Lidofenin
D02.491.567	D050111	Imino Sugars
D02.491.567.249	D050113	Imino Furanoses
D02.491.567.500	D050112	Imino Pyranoses
D02.491.567.500.033	D017485	1-Deoxynojirimycin
D02.491.650	D011094	Polyethyleneimine
D02.491.784	D012545	Schiff Bases
D02.500	D017953	Isocyanates
D02.500.375	D017879	Isothiocyanates
D02.500.375.050	D012856	4-Acetamido-4'-isothiocyanatostilbene-2,2'-disulfonic Acid
D02.500.375.125	D017878	4,4'-Diisothiocyanostilbene-2,2'-Disulfonic Acid
D02.500.375.250	D016650	Fluorescein-5-isothiocyanate
D02.500.375.625	D015058	1-Naphthylisothiocyanate
D02.500.800	D014051	Toluene 2,4-Diisocyanate
D02.522	D007659	Ketones
D02.522.064	D000096	Acetone
D02.522.120	D000098	Acetophenones
D02.522.120.100	D001573	Benzoin
D02.522.120.575	D002721	omega-Chloroacetophenone
D02.522.223	D001577	Benzophenones
D02.522.223.500	D002752	Chlorthalidone
D02.522.223.750	D011345	Fenofibrate
D02.522.296	D002074	Butanones
D02.522.296.100	D000093	Acetoin
D02.522.296.400	D003931	Diacetyl
D02.522.296.900	D013804	Thenoyltrifluoroacetone
D02.522.352	D002090	Butyrophenones
D02.522.352.110	D001376	Azaperone
D02.522.352.155	D001544	Benperidol
D02.522.352.343	D004329	Droperidol
D02.522.352.506	D006220	Haloperidol
D02.522.352.800	D013134	Spiperone
D02.522.352.867	D014272	Trifluperidol
D02.522.376	D002164	Camphor
D02.522.400	D003512	Cyclohexanones
D02.522.400.850	D013992	Tiletamine
D02.522.520	D006588	Hexanones
D02.522.520.500	D008742	Methyl n-Butyl Ketone
D02.522.585	D007657	Ketone Bodies
D02.522.585.087	D020155	3-Hydroxybutyric Acid
D02.522.585.175	D000090	Acetoacetates
D02.522.650	D008352	Mannich Bases
D02.522.675	D008691	Methadone
D02.522.675.500	D008692	Methadyl Acetate
D02.522.720	D010422	Pentanones
D02.522.741	D010705	Phosgene
D02.522.818	D011427	Propiophenones
D02.522.818.110	D016642	Bupropion
D02.522.818.222	D047188	Chalcones
D02.522.818.222.500	D002599	Chalcone
D02.522.818.561	D006910	Hydroxypropiophenone
D02.522.818.561.602	D010693	Phloretin
D02.522.818.561.602.615	D011121	Polyphloretin Phosphate
D02.522.818.600	D007735	Kynuramine
D02.522.818.800	D010099	Oxyfedrine
D02.522.818.830	D011405	Propafenone
D02.522.818.950	D014049	Tolperisone
D02.540	D007783	Lactones
D02.540.150	D015107	4-Butyrolactone
D02.540.205	D054378	Acetogenins
D02.540.232	D054742	Acyl-Butyrolactones
D02.540.260	D003683	Dehydroascorbic Acid
D02.540.505	D018942	Macrolides
D02.540.505.450	D008155	Lucensomycin
D02.540.505.495	D008453	Maytansine
D02.540.505.497	D008613	Mepartricin
D02.540.505.500	D015644	Miocamycin
D02.540.505.550	D010866	Natamycin
D02.540.505.575	D009761	Nystatin
D02.540.505.600	D009827	Oleandomycin
D02.540.505.600.800	D014217	Troleandomycin
D02.540.505.620	D009840	Oligomycins
D02.540.505.620.750	D012427	Rutamycin
D02.540.505.760	D020123	Sirolimus
D02.540.505.760.500	D000068338	Everolimus
D02.540.505.810	D016559	Tacrolimus
D02.540.505.905	D015645	Tylosin
D02.540.552	D010852	Picrotoxin
D02.540.576	D061065	Polyketides
D02.540.576.500	D018942	Macrolides
D02.540.576.500.500	D000666	Amphotericin B
D02.540.576.500.750	D000968	Antimycin A
D02.540.576.500.875	D020126	Brefeldin A
D02.540.576.500.937	D054713	Bryostatins
D02.540.576.500.968	D002174	Candicidin
D02.540.576.500.984	D034261	Epothilones
D02.540.576.500.992	D004917	Erythromycin
D02.540.576.500.992.050	D017963	Azithromycin
D02.540.576.500.992.100	D017291	Clarithromycin
D02.540.576.500.992.250	D004918	Erythromycin Estolate
D02.540.576.500.992.260	D015643	Erythromycin Ethylsuccinate
D02.540.576.500.992.445	D048628	Ketolides
D02.540.576.500.992.630	D015575	Roxithromycin
D02.540.576.500.996	D005372	Filipin
D02.540.576.500.997	D007559	Ivermectin
D02.540.576.500.998	D015570	Josamycin
D02.540.576.500.999	D007933	Leucomycins
D02.540.576.500.999.450	D015939	Kitasamycin
D02.540.576.500.999.725	D015572	Spiramycin
D02.540.600	D011420	Propiolactone
D02.540.679	D013148	Spironolactone
D02.540.800	D014698	Venturicidins
D02.540.950	D015025	Zearalenone
D02.540.950.975	D015029	Zeranol
D02.561	D058116	Lewis Acids
D02.572	D058115	Lewis Bases
D02.583	D009566	Nitrates
D02.583.225	D004897	Erythrityl Tetranitrate
D02.583.575	D020108	Nicorandil
D02.626	D009570	Nitriles
D02.626.080	D000097	Acetonitriles
D02.626.080.085	D000607	Aminoacetonitrile
D02.626.095	D000181	Acrylonitrile
D02.626.151	D000629	Aminopropionitrile
D02.626.175	D000678	Amygdalin
D02.626.260	D002258	Carbonyl Cyanide m-Chlorophenyl Hydrazone
D02.626.270	D002259	Carbonyl Cyanide p-Trifluoromethoxyphenylhydrazone
D02.626.290	D003487	Cyanoacrylates
D02.626.290.200	D002015	Bucrylate
D02.626.290.350	D004659	Enbucrilate
D02.626.310	D009763	o-Chlorobenzylidenemalonitrile
D02.626.320	D015283	Citalopram
D02.626.400	D017316	Fadrozole
D02.626.745	D011285	Pregnenolone Carbonitrile
D02.626.809	D000068696	Rilpivirine
D02.626.809.500	D000068678	Emtricitabine, Rilpivirine, Tenofovir Drug Combination
D02.626.872	D017256	Technetium Tc 99m Sestamibi
D02.626.886	D020032	Tyrphostins
D02.633	D009573	Nitrites
D02.633.025	D000680	Amyl Nitrite
D02.640	D009574	Nitro Compounds
D02.640.139	D034341	Aristolochic Acids
D02.640.280	D004138	Dinitrocresols
D02.640.529	D009578	Nitrobenzenes
D02.640.529.175	D002701	Chloramphenicol
D02.640.529.175.850	D013839	Thiamphenicol
D02.640.529.240	D004136	Dinitrobenzenes
D02.640.529.240.250	D004137	Dinitrochlorobenzene
D02.640.529.240.280	D004139	Dinitrofluorobenzene
D02.640.529.880	D014301	Trinitrobenzenes
D02.640.529.880.607	D010853	Picryl Chloride
D02.640.529.880.900	D014302	Trinitrobenzenesulfonic Acid
D02.640.600	D009581	Nitrofurans
D02.640.600.200	D013184	5-Amino-3-((5-nitro-2-furyl)vinyl)-1,2,4-oxadiazole
D02.640.600.290	D005200	FANFT
D02.640.600.308	D005661	Furagin
D02.640.600.313	D005664	Furazolidone
D02.640.600.330	D005668	Furylfuramide
D02.640.600.410	D009545	Nifuratel
D02.640.600.480	D009547	Nifurtimox
D02.640.600.566	D009582	Nitrofurantoin
D02.640.600.691	D009583	Nitrofurazone
D02.640.600.750	D009610	Nitrovin
D02.640.636	D005996	Nitroglycerin
D02.640.672	D009593	Nitroimidazoles
D02.640.672.200	D004131	Dimetridazole
D02.640.672.250	D017341	Etanidazole
D02.640.672.400	D007491	Ipronidazole
D02.640.672.500	D008795	Metronidazole
D02.640.672.530	D008920	Misonidazole
D02.640.672.580	D009554	Nimorazole
D02.640.672.700	D009950	Ornidazole
D02.640.672.730	D012385	Ronidazole
D02.640.672.900	D014011	Tinidazole
D02.640.720	D009595	Nitroparaffins
D02.640.720.800	D013774	Tetranitromethane
D02.640.743	D009596	Nitrophenols
D02.640.743.304	D004140	Dinitrophenols
D02.640.743.304.250	D019297	2,4-Dinitrophenol
D02.640.743.400	D015077	2-Hydroxy-5-nitrobenzyl Bromide
D02.640.743.600	D009533	Niclofolan
D02.640.743.610	D009592	Nitrohydroxyiodophenylacetate
D02.640.743.620	D009611	Nitroxinil
D02.640.743.690	D010851	Picrates
D02.640.820	D009600	Nitroquinolines
D02.640.820.600	D015112	4-Nitroquinoline-1-oxide
D02.654	D009603	Nitroso Compounds
D02.654.442	D009602	Nitrosamines
D02.654.442.100	D002085	Butylhydroxybutylnitrosamine
D02.654.442.200	D004052	Diethylnitrosamine
D02.654.442.225	D004128	Dimethylnitrosamine
D02.654.442.550	D009242	N-Nitrosopyrrolidine
D02.654.567	D009604	Nitrosoguanidines
D02.654.567.400	D008769	Methylnitronitrosoguanidine
D02.654.585	D009605	Nitrosomethylurethane
D02.654.692	D009607	Nitrosourea Compounds
D02.654.692.247	D002330	Carmustine
D02.654.692.300	D005038	Ethylnitrosourea
D02.654.692.440	D008130	Lomustine
D02.654.692.440.700	D012673	Semustine
D02.654.692.480	D008770	Methylnitrosourea
D02.654.692.550	D015376	Nimustine
D02.654.692.768	D013311	Streptozocin
D02.654.846	D026361	Reactive Nitrogen Species
D02.654.846.500	D026403	S-Nitrosothiols
D02.654.846.500.124	D026423	S-Nitroso-N-Acetylpenicillamine
D02.654.846.500.249	D026422	S-Nitrosoglutathione
D02.675	D009861	Onium Compounds
D02.675.276	D000644	Quaternary Ammonium Compounds
D02.675.276.046	D000549	Ambenonium Chloride
D02.675.276.080	D001548	Benzalkonium Compounds
D02.675.276.090	D001558	Benzethonium
D02.675.276.102	D001598	Bephenium Compounds
D02.675.276.125	D001622	Betaine
D02.675.276.136	D050858	Betalains
D02.675.276.136.500	D050859	Betacyanins
D02.675.276.136.555	D050860	Betaxanthins
D02.675.276.148	D001626	Bethanechol Compounds
D02.675.276.148.100	D018723	Bethanechol
D02.675.276.190	D002593	Cetrimonium Compounds
D02.675.276.200	D002714	Chlorisondamine
D02.675.276.207	D002716	Chlormequat
D02.675.276.210	D008455	(4-(m-Chlorophenylcarbamoyloxy)-2-butynyl)trimethylammonium Chloride
D02.675.276.232	D002794	Choline
D02.675.276.232.100	D001588	Benzoylcholine
D02.675.276.232.115	D002217	Carbachol
D02.675.276.232.130	D003566	Cytidine Diphosphate Choline
D02.675.276.232.700	D010767	Phosphorylcholine
D02.675.276.232.710	D010972	Platelet Activating Factor
D02.675.276.232.720	D011438	Propylbenzilylcholine Mustard
D02.675.276.232.780	D013390	Succinylcholine
D02.675.276.232.800	D013860	Thiocholine
D02.675.276.232.800.030	D000122	Acetylthiocholine
D02.675.276.232.800.200	D002092	Butyrylthiocholine
D02.675.276.352	D004491	Edrophonium
D02.675.276.370	D004629	Emepronium
D02.675.276.400	D005703	Gallamine Triethiodide
D02.675.276.425	D006024	Glycopyrrolate
D02.675.276.435	D006426	Hemicholinium 3
D02.675.276.475	D008086	Lissamine Green Dyes
D02.675.276.534	D008688	Methacholine Compounds
D02.675.276.534.500	D016210	Methacholine Chloride
D02.675.276.558	D008725	Bis-Trimethylammonium Compounds
D02.675.276.558.372	D003650	Decamethonium Compounds
D02.675.276.558.592	D006584	Hexamethonium Compounds
D02.675.276.558.592.500	D018738	Hexamethonium
D02.675.276.580	D009116	Muscarine
D02.675.276.602	D009388	Neostigmine
D02.675.276.648	D010115	Oxyphenonium
D02.675.276.700	D011413	Propantheline
D02.675.276.787	D013757	Tetraethylammonium Compounds
D02.675.276.787.500	D019789	Tetraethylammonium
D02.675.276.844	D014117	Toxiferine
D02.675.276.844.050	D000443	Alcuronium
D02.675.276.922	D014403	Tubocurarine
D02.675.800	D013452	Sulfonium Compounds
D02.691	D009942	Organometallic Compounds
D02.691.075	D000966	Antimony Potassium Tartrate
D02.691.080	D000967	Antimony Sodium Gluconate
D02.691.088	D001152	Arsenicals
D02.691.088.030	D001147	Arsanilic Acid
D02.691.088.040	D001148	Arsenamide
D02.691.088.042	D001149	Arsenates
D02.691.088.044	D001150	Arsenazo III
D02.691.088.047	D018053	Arsenites
D02.691.088.050	D001153	Arsphenamine
D02.691.088.060	D010132	p-Azobenzenearsonate
D02.691.088.100	D002101	Cacodylic Acid
D02.691.088.500	D008549	Melarsoprol
D02.691.088.700	D012406	Roxarsone
D02.691.214	D056831	Coordination Complexes
D02.691.400	D019786	Gadolinium DTPA
D02.691.550	D058085	Iron Compounds
D02.691.550.100	D005290	Ferric Compounds
D02.691.550.100.500	D007505	Iron-Dextran Complex
D02.691.550.200	D005296	Ferrous Compounds
D02.691.550.500	D054354	Iron Carbonyl Compounds
D02.691.550.600	D019266	Iron, Dietary
D02.691.600	D008344	Maneb
D02.691.675	D050607	Organogold Compounds
D02.691.675.249	D006051	Aurothioglucose
D02.691.675.249.150	D001310	Auranofin
D02.691.675.500	D006052	Gold Sodium Thiomalate
D02.691.750	D009941	Organomercury Compounds
D02.691.750.100	D000479	Alkylmercury Compounds
D02.691.750.100.229	D002717	Chlormerodrin
D02.691.750.100.347	D005035	Ethylmercury Compounds
D02.691.750.100.347.350	D002920	Cialit
D02.691.750.100.347.417	D005034	Ethylmercuric Chloride
D02.691.750.100.347.850	D013849	Thimerosal
D02.691.750.100.710	D008634	Mersalyl
D02.691.750.100.738	D008767	Methylmercury Compounds
D02.691.750.575	D008622	Merbromin
D02.691.750.740	D010663	Phenylmercury Compounds
D02.691.750.740.220	D002731	4-Chloromercuribenzenesulfonate
D02.691.750.740.225	D002730	Chloromercurinitrophenols
D02.691.750.740.644	D008626	Mercuribenzoates
D02.691.750.740.644.261	D002729	Chloromercuribenzoates
D02.691.750.740.644.261.275	D020245	p-Chloromercuribenzoic Acid
D02.691.750.740.644.450	D006902	Hydroxymercuribenzoates
D02.691.750.740.760	D010662	Phenylmercuric Acetate
D02.691.800	D009944	Organoplatinum Compounds
D02.691.800.338	D016190	Carboplatin
D02.691.825	D015609	Organotechnetium Compounds
D02.691.825.375	D013668	Technetium Tc 99m Aggregated Albumin
D02.691.825.445	D019784	Technetium Tc 99m Diethyl-iminodiacetic Acid
D02.691.825.468	D019783	Technetium Tc 99m Dimercaptosuccinic Acid
D02.691.825.475	D019785	Technetium Tc 99m Disofenin
D02.691.825.562	D019690	Technetium Tc 99m Exametazime
D02.691.825.710	D019780	Technetium Tc 99m Lidofenin
D02.691.825.750	D013669	Technetium Tc 99m Medronate
D02.691.825.775	D017263	Technetium Tc 99m Mertiatide
D02.691.825.875	D016284	Technetium Tc 99m Pentetate
D02.691.825.937	D017256	Technetium Tc 99m Sestamibi
D02.691.850	D009947	Organotin Compounds
D02.691.850.900	D014220	Trialkyltin Compounds
D02.691.850.900.910	D014267	Triethyltin Compounds
D02.691.850.900.950	D014298	Trimethyltin Compounds
D02.691.925	D013392	Sucralfate
D02.691.950	D013756	Tetraethyl Lead
D02.691.975	D015038	Zineb
D02.705	D009943	Organophosphorus Compounds
D02.705.400	D010755	Organophosphates
D02.705.400.100	D002221	Carbamyl Phosphate
D02.705.400.120	D002709	Chlorfenvinphos
D02.705.400.130	D004006	Dichlorvos
D02.705.400.140	D004163	Diphosphoglyceric Acids
D02.705.400.140.175	D019794	2,3-Diphosphoglycerate
D02.705.400.501	D008799	Mevinphos
D02.705.400.550	D008999	Monocrotophos
D02.705.400.600	D009267	Naled
D02.705.400.625	D063086	Organothiophosphates
D02.705.400.625.050	D004999	Amifostine
D02.705.400.625.060	D001387	Azinphosmethyl
D02.705.400.625.100	D004390	Chlorpyrifos
D02.705.400.625.120	D003372	Coumaphos
D02.705.400.625.130	D003539	Cystaphos
D02.705.400.625.200	D003976	Diazinon
D02.705.400.625.220	D004117	Dimethoate
D02.705.400.625.230	D004222	Disulfoton
D02.705.400.625.240	D004456	Echothiophate Iodide
D02.705.400.625.300	D005278	Fenitrothion
D02.705.400.625.320	D005284	Fenthion
D02.705.400.625.500	D008294	Malathion
D02.705.400.625.600	D010278	Parathion
D02.705.400.625.600.500	D008743	Methyl Parathion
D02.705.400.625.650	D010702	Phorate
D02.705.400.625.670	D010706	Phosmet
D02.705.400.625.800	D000002	Temefos
D02.705.400.650	D010261	Paraoxon
D02.705.400.700	D010707	Phosphamidon
D02.705.400.725	D011106	Polyisoprenyl Phosphates
D02.705.400.725.200	D004288	Dolichol Phosphates
D02.705.400.750	D013751	Tetrachlorvinphos
D02.705.400.875	D014317	Tritolyl Phosphates
D02.705.429	D063065	Organophosphonates
D02.705.429.249	D000615	Aminoethylphosphonic Acid
D02.705.429.374	D001138	Armin
D02.705.429.500	D004164	Diphosphonates
D02.705.429.500.100	D019386	Alendronate
D02.705.429.500.200	D004002	Clodronic Acid
D02.705.429.500.830	D012968	Etidronic Acid
D02.705.429.500.830.500	D000068296	Risedronate Sodium
D02.705.429.500.885	D013669	Technetium Tc 99m Medronate
D02.705.429.625	D005578	Fosfomycin
D02.705.429.750	D063066	Organofluorophosphonates
D02.705.429.750.249	D007531	Isoflurophate
D02.705.429.750.500	D012524	Sarin
D02.705.429.750.750	D012999	Soman
D02.705.429.812	D063085	Organothiophosphonates
D02.705.429.812.249	D004397	Fonofos
D02.705.429.812.500	D010773	Leptophos
D02.705.429.812.750	D004849	Phenylphosphonothioic Acid, 2-Ethyl 2-(4-Nitrophenyl) Ester
D02.705.429.875	D010746	Phosphonoacetic Acid
D02.705.429.875.500	D017245	Foscarnet
D02.705.429.906	D000068698	Tenofovir
D02.705.429.906.125	D000068257	Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination
D02.705.429.906.250	D000069545	Elvitegravir, Cobicistat, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination
D02.705.429.906.500	D000068678	Emtricitabine, Rilpivirine, Tenofovir Drug Combination
D02.705.429.906.750	D000069480	Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination
D02.705.429.937	D014236	Trichlorfon
D02.705.539	D009946	Organothiophosphorus Compounds
D02.705.539.345	D063086	Organothiophosphates
D02.705.539.345.050	D004999	Amifostine
D02.705.539.345.060	D001387	Azinphosmethyl
D02.705.539.345.100	D004390	Chlorpyrifos
D02.705.539.345.120	D003372	Coumaphos
D02.705.539.345.130	D003539	Cystaphos
D02.705.539.345.200	D003976	Diazinon
D02.705.539.345.220	D004117	Dimethoate
D02.705.539.345.230	D004222	Disulfoton
D02.705.539.345.240	D004456	Echothiophate Iodide
D02.705.539.345.300	D005278	Fenitrothion
D02.705.539.345.320	D005284	Fenthion
D02.705.539.345.500	D008294	Malathion
D02.705.539.345.600	D010278	Parathion
D02.705.539.345.600.500	D008743	Methyl Parathion
D02.705.539.345.650	D010702	Phorate
D02.705.539.345.670	D010706	Phosmet
D02.705.539.345.800	D000002	Temefos
D02.705.539.692	D063085	Organothiophosphonates
D02.705.539.692.249	D004397	Fonofos
D02.705.539.692.500	D010773	Leptophos
D02.705.539.692.750	D004849	Phenylphosphonothioic Acid, 2-Ethyl 2-(4-Nitrophenyl) Ester
D02.705.621	D010720	Phosphines
D02.705.629	D010721	Phosphinic Acids
D02.705.629.500	D017328	Fosinopril
D02.705.672	D063088	Phosphoramides
D02.705.672.249	D006492	Hempa
D02.705.672.500	D010752	Phosphoramide Mustards
D02.705.672.500.243	D003520	Cyclophosphamide
D02.705.672.500.243.250	D007069	Ifosfamide
D02.705.672.750	D013770	Tetraisopropylpyrophosphamide
D02.705.672.875	D013852	Thiotepa
D02.705.675	D010753	Phosphoranes
D02.712	D016566	Organoselenium Compounds
D02.712.600	D017279	Selenocysteine
D02.712.700	D012645	Selenomethionine
D02.715	D017646	Organosilicon Compounds
D02.715.312	D063225	Organically Modified Ceramics
D02.715.625	D012821	Silanes
D02.715.650	D012833	Siloxanes
D02.715.650.700	D012828	Silicones
D02.715.650.700.150	D004129	Dimethylpolysiloxanes
D02.715.650.700.150.750	D012841	Simethicone
D02.715.650.700.755	D020034	Silicone Gels
D02.715.650.700.800	D012827	Silicone Oils
D02.715.650.850	D062047	Silorane Resins
D02.715.715	D014297	Trimethylsilyl Compounds
D02.806	D011809	Quinones
D02.806.100	D000880	Anthraquinones
D02.806.100.200	D002329	Carmine
D02.806.100.205	D002362	Cascara
D02.806.100.205.400	D004642	Emodin
D02.806.100.500	D008942	Mitoxantrone
D02.806.100.750	D012676	Senna Extract
D02.806.250	D016227	Benzoquinones
D02.806.250.180	D002225	Carbazilquinone
D02.806.250.210	D002703	Chloranil
D02.806.250.280	D003991	Dibromothymoquinone
D02.806.250.700	D010971	Plastoquinone
D02.806.250.900	D014451	Ubiquinone
D02.806.400	D045563	Indolequinones
D02.806.400.249	D008937	Mitomycins
D02.806.400.249.350	D016685	Mitomycin
D02.806.400.249.700	D011160	Porfiromycin
D02.806.400.500	D047608	Pyrroloiminoquinones
D02.806.550	D009285	Naphthoquinones
D02.806.550.312	D053626	Atovaquone
D02.806.550.625	D010837	Vitamin K 1
D02.806.550.750	D024482	Vitamin K 2
D02.806.550.875	D024483	Vitamin K 3
D02.825	D043862	Rotaxanes
D02.845	D012663	Semicarbazides
D02.845.250	D004160	Diphenylcarbazide
D02.845.746	D012664	Semicarbazones
D02.845.746.703	D013882	Thiosemicarbazones
D02.845.746.703.450	D008720	Methisazone
D02.845.746.703.702	D013828	Thioacetazone
D02.886	D013457	Sulfur Compounds
D02.886.030	D000603	Amino Acids, Sulfur
D02.886.030.175	D003540	Cystathionine
D02.886.030.215	D003544	Cysteic Acid
D02.886.030.230	D003545	Cysteine
D02.886.030.230.259	D000111	Acetylcysteine
D02.886.030.230.310	D002233	Carbocysteine
D02.886.030.230.330	D003548	Cysteinyldopa
D02.886.030.230.369	D003553	Cystine
D02.886.030.230.700	D017279	Selenocysteine
D02.886.030.388	D005001	Ethionine
D02.886.030.498	D006710	Homocysteine
D02.886.030.498.050	D012435	S-Adenosylhomocysteine
D02.886.030.554	D006711	Homocystine
D02.886.030.676	D008715	Methionine
D02.886.030.676.089	D064697	Racemethionine
D02.886.030.676.180	D012436	S-Adenosylmethionine
D02.886.030.676.450	D009239	N-Formylmethionine
D02.886.030.676.450.440	D009240	N-Formylmethionine Leucyl-Phenylalanine
D02.886.030.676.620	D008717	Methionine Sulfoximine
D02.886.030.676.620.125	D019328	Buthionine Sulfoximine
D02.886.030.676.900	D012645	Selenomethionine
D02.886.030.676.950	D014814	Vitamin U
D02.886.030.786	D010396	Penicillamine
D02.886.030.786.500	D026423	S-Nitroso-N-Acetylpenicillamine
D02.886.030.893	D015244	Thiorphan
D02.886.030.896	D008625	Tiopronin
D02.886.092	D001582	Benzothiepins
D02.886.092.408	D004726	Endosulfan
D02.886.108	D047090	beta-Lactams
D02.886.108.500	D008997	Monobactams
D02.886.108.500.044	D001398	Aztreonam
D02.886.108.750	D010406	Penicillins
D02.886.108.750.124	D000560	Amdinocillin
D02.886.108.750.124.036	D000561	Amdinocillin Pivoxil
D02.886.108.750.249	D003493	Cyclacillin
D02.886.108.750.500	D008712	Methicillin
D02.886.108.750.562	D009254	Nafcillin
D02.886.108.750.625	D010068	Oxacillin
D02.886.108.750.625.150	D003023	Cloxacillin
D02.886.108.750.625.150.205	D004009	Dicloxacillin
D02.886.108.750.625.150.250	D005436	Floxacillin
D02.886.108.750.687	D010397	Penicillanic Acid
D02.886.108.750.750	D010400	Penicillin G
D02.886.108.750.750.050	D000667	Ampicillin
D02.886.108.750.750.050.050	D000658	Amoxicillin
D02.886.108.750.750.050.050.060	D019980	Amoxicillin-Potassium Clavulanate Combination
D02.886.108.750.750.050.075	D001390	Azlocillin
D02.886.108.750.750.050.500	D008802	Mezlocillin
D02.886.108.750.750.050.650	D010878	Piperacillin
D02.886.108.750.750.050.700	D010917	Pivampicillin
D02.886.108.750.750.050.900	D013626	Talampicillin
D02.886.108.750.750.170	D002228	Carbenicillin
D02.886.108.750.750.170.200	D002323	Carfecillin
D02.886.108.750.750.685	D010401	Penicillin G Benzathine
D02.886.108.750.750.695	D010402	Penicillin G Procaine
D02.886.108.750.750.875	D013408	Sulbenicillin
D02.886.108.750.781	D010404	Penicillin V
D02.886.108.750.812	D013407	Sulbactam
D02.886.108.750.875	D013982	Ticarcillin
D02.886.124	D003499	Cyclic S-Oxides
D02.886.250	D017879	Isothiocyanates
D02.886.250.050	D012856	4-Acetamido-4'-isothiocyanatostilbene-2,2'-disulfonic Acid
D02.886.250.125	D017878	4,4'-Diisothiocyanostilbene-2,2'-Disulfonic Acid
D02.886.250.250	D016650	Fluorescein-5-isothiocyanate
D02.886.250.625	D015058	1-Naphthylisothiocyanate
D02.886.300	D009946	Organothiophosphorus Compounds
D02.886.300.692	D063086	Organothiophosphates
D02.886.300.692.050	D004999	Amifostine
D02.886.300.692.060	D001387	Azinphosmethyl
D02.886.300.692.100	D004390	Chlorpyrifos
D02.886.300.692.120	D003372	Coumaphos
D02.886.300.692.130	D003539	Cystaphos
D02.886.300.692.200	D003976	Diazinon
D02.886.300.692.220	D004117	Dimethoate
D02.886.300.692.230	D004222	Disulfoton
D02.886.300.692.240	D004456	Echothiophate Iodide
D02.886.300.692.300	D005278	Fenitrothion
D02.886.300.692.320	D005284	Fenthion
D02.886.300.692.500	D008294	Malathion
D02.886.300.692.600	D010278	Parathion
D02.886.300.692.600.500	D008743	Methyl Parathion
D02.886.300.692.650	D010702	Phorate
D02.886.300.692.670	D010706	Phosmet
D02.886.300.692.800	D000002	Temefos
D02.886.300.846	D063085	Organothiophosphonates
D02.886.300.846.249	D004397	Fonofos
D02.886.300.846.500	D010773	Leptophos
D02.886.300.846.750	D004849	Phenylphosphonothioic Acid, 2-Ethyl 2-(4-Nitrophenyl) Ester
D02.886.369	D010640	Phenothiazines
D02.886.369.029	D000075	Acepromazine
D02.886.369.080	D001399	Azure Stains
D02.886.369.198	D002746	Chlorpromazine
D02.886.369.326	D005476	Fluphenazine
D02.886.369.470	D008653	Mesoridazine
D02.886.369.513	D008728	Methotrimeprazine
D02.886.369.517	D008751	Methylene Blue
D02.886.369.533	D016293	Moricizine
D02.886.369.550	D009628	Nonachlazine
D02.886.369.575	D010464	Perazine
D02.886.369.593	D010546	Perphenazine
D02.886.369.639	D011346	Prochlorperazine
D02.886.369.661	D011395	Promazine
D02.886.369.670	D011398	Promethazine
D02.886.369.780	D013847	Thiethylperazine
D02.886.369.843	D013881	Thioridazine
D02.886.369.869	D014048	Tolonium Chloride
D02.886.369.898	D014268	Trifluoperazine
D02.886.369.918	D014273	Triflupromazine
D02.886.369.939	D014291	Trimeprazine
D02.886.489	D013438	Sulfhydryl Compounds
D02.886.489.155	D003545	Cysteine
D02.886.489.180	D004112	Dimercaprol
D02.886.489.180.900	D014494	Unithiol
D02.886.489.225	D004880	Ergothioneine
D02.886.489.409	D008623	Mercaptoethanol
D02.886.489.472	D008624	Mercaptoethylamines
D02.886.489.472.369	D003543	Cysteamine
D02.886.489.520	D015097	3-Mercaptopropionic Acid
D02.886.489.534	D015122	6-Mercaptopurine
D02.886.489.590	D015080	Mesna
D02.886.489.600	D008713	Methimazole
D02.886.489.650	D026403	S-Nitrosothiols
D02.886.489.650.500	D026423	S-Nitroso-N-Acetylpenicillamine
D02.886.489.650.750	D026422	S-Nitrosoglutathione
D02.886.489.700	D010204	Pantetheine
D02.886.489.750	D004113	Succimer
D02.886.489.750.725	D019783	Technetium Tc 99m Dimercaptosuccinic Acid
D02.886.489.789	D013860	Thiocholine
D02.886.489.789.030	D000122	Acetylthiocholine
D02.886.489.789.200	D002092	Butyrylthiocholine
D02.886.489.828	D013864	Thioglycolates
D02.886.489.891	D013870	Thiomalates
D02.886.489.891.451	D006052	Gold Sodium Thiomalate
D02.886.520	D013440	Sulfides
D02.886.520.150	D004220	Disulfides
D02.886.520.150.087	D003553	Cystine
D02.886.520.150.175	D004221	Disulfiram
D02.886.520.575	D009070	Moxalactam
D02.886.590	D013450	Sulfones
D02.886.590.192	D003619	Dansyl Compounds
D02.886.590.263	D003622	Dapsone
